TIVIDALE-SCHOOL,,,,,,,,,,
Grid ref,SO974903,Long,-2.039739,Lat,52.510584,Elevation,500,ft.,,
Station no,2326/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,5.23
February,,,,,,,,,,2.13
March,,,,,,,,,,1.55
April,,,,,,,,,,1.21
May,,,,,,,,,,1.3
June,,,,,,,,,,2.53
July,,,,,,,,,,3.41
August,,,,,,,,,,4.42
September,,,,,,,,,,5.77
October,,,,,,,,,3.05,4.82
November,,,,,,,,,4.16,5.03
December,,,,,,,,,4.26,3.16
Total,,,,,,,,,,40.56
,,,,,,,,,,
"NGR is from the 1950s record and is Tividale School, now Ormiston Sandwell Community Academy. Altitudes match.",,,,,,,,,,
MIDAS src_id 2994 ends 1974,,,,,,,,,,
