BLACK-MOUNTAINS-TWYN-TAL-Y-CEFN-3B,,,,,,,,,,
Grid ref,SO234314,Long,-3.1165876,Lat,51.975766,Elevation,2130,ft.,,
Station no,RR7187,,,,,,,,,
,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,4.96,5.99,3.04,3.81,2.58,2.44,,
February,,,3.77,2.09,4.93,8.58,,1.66,,
March,,,7.53,8.12,5.58,1.13,,5.62,,
April,,,0.37,6.1,1.66,1.99,2.26,4,,
May,,,2.62,5.19,2.81,,5.36,6.12,,
June,,,5.12,1.63,4,1.69,2.53,3.76,,
July,,,6.26,1.19,6.59,5.93,1.69,3.29,,
August,,,12.66,2.86,3.32,5.17,3,11.25,,
September,,,2.01,4.06,2.33,0.96,3.33,3.32,,
October,,,5.66,8.91,5.65,6.84,7.87,5.44,,
November,,6,2.7,6.16,6.77,3.29,5.35,2.24,,
December,,10.39,6.74,2.57,9.54,9.3,3.22,1.54,,
Total,,,60.4,54.87,56.22,,,50.68,,
,,,,,,,,,,
NGR is on Twyn Tal-y-Cefn at the stated altitude.,,,,,,,,,,
NGR could be up to 2 km NW,,,,,,,,,,
