LYME-REGIS-THE-HAYE,,,,,,,,,,
Grid ref,SY334927,Long,-2.94423,Lat,50.73057,Elevation,200,ft,,
Station no,1591/2,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,2.47,3.61,2.93,6.4,0.89,0.94
February,,,,,1.92,1.47,1.98,1.36,1.66,6.03
March,,,,0.6,0.9,1.42,8.8,1.08,1.34,2.1
April,,,,2.42,0.8,1.97,2.23,1.63,2.06,2.44
May,,,,0.64,4.09,4.05,3.58,3.76,2.26,2.01
June,,,,1.78,3.63,3.99,2.65,1.8,0.45,0.91
July,,,,4.28,2.23,1.65,2.74,2.43,1.43,5.35
August,,,,3.46,2.53,4.49,1.53,4.29,1.97,4.67
September,,,,1.13,3,6.31,1.13,2.84,4.64,5.14
October,,,,5.23,5.08,2.08,0.48,3.57,6.36,1.78
November,,,,6.51,0.95,5.93,2.3,2.07,4.07,7.94
December,,,,2.84,5.5,4.53,2.72,4.64,2.19,3.64
Total,,,,,33.1,41.5,33.07,35.87,29.32,42.95
,,,,,,,,,,
1944 Gauge moved from Charmouth Newlands Stn No 1594/5,,,,,,,,,,
1945 Jan Adjusted for snow,,,,,,,,,,
1951 Observer died Record terminated,,,,,,,,,,
