CREDITON-HOOKWAY,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX850986,Long,-3.63154,Lat,50.77576,Elevation,151,ft,,,,,,,,,,,,,
Station no,RR7428,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,3.86,0.78,1.38,4.26,5.03,4.38,2.25,4.92,2.24,5.38,,,,,,
February,,,,,,5.6,6.8,1.08,1.6,5.25,0.54,0.41,2.63,8.04,1.68,,,,,,
March,,,,,,0.46,4.62,4.51,1.34,4.52,3.32,1.74,3.3,1.25,1.75,,,,,,
April,,,,,,0.7,0.77,1.85,2.17,1.98,4.84,0.65,3.6,3.13,2.83,,,,,,
May,,,,,,1.97,2.18,1.92,1.63,0.78,1.38,1.68,0.78,2.06,3.98,,,,,,
June,,,,,,1.85,1.79,4.02,0.76,0.59,2.07,0.56,0.7,0.45,1.93,,,,,,
July,,,,,,3.31,1.59,2.78,2.9,1.75,4.24,0.77,2.5,1.33,4.11,,,,,,
August,,,,,,2.25,4.2,5.44,2.66,3.7,0.98,1.49,4.43,1.98,3.65,,,,,,
September,,,,,,1.11,2.84,1.66,6.97,1.56,1.79,0.71,3.15,2.89,4.34,,,,,,
October,,,,,,5.11,5.98,4.56,1.67,1.96,3.6,1,1.02,5.54,4.79,,,,,,
November,,,,,,1.88,6.06,1.89,2.81,2.83,1.97,3.91,1.84,2.38,4.66,,,,,,
December,,,,,,7.3,3.6,1.1,4.4,5.52,3.13,1.56,5.83,3.14,3.6,,,,,,
Total,,,,,,35.4,41.21,32.19,33.17,35.47,32.24,16.73,34.7,34.43,42.7,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Unknown where gauge was in Hookway,,,,,,,,,,,,,,,,,,,,,
Given elevation of 151ft too low for this area Lowest 175ft,,,,,,,,,,,,,,,,,,,,,
NGR is lowest part of village within distances to church and station,,,,,,,,,,,,,,,,,,,,,
Gauge could have been 200yds NW or SE,,,,,,,,,,,,,,,,,,,,,
