"KILPATRICK HILLS, BURNCROOKS RESERVOIR",,,,,,,,,,,,
Grid ref,NS485796,Long,-4.430000,Lat,55.985383,,,,,,,
Station no,5380,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,4.10,5.67,,
February,,,,,,,,,2.01,2.57,,
March,,,,,,,,,4.09,1.97,,
April,,,,,,,,,1.87,3.24,,
May,,,,,,,,,2.70,2.75,,
June,,,,,,,,,2.59,3.30,,
July,,,,,,,,,2.62,4.76,,
August,,,,,,,,,3.41,2.29,,
September,,,,,,,,,8.65,1.69,,
October,,,,,,,,,2.05,6.60,,
November,,,,,,,,,3.89,1.02,,
December,,,,,,,,,3.83,4.40,,
Total,,,,,,,,,41.81,40.26,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.81,40.26,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,,
