"KILPATRICK HILLS (BURNCROOKS RES.)",,,,,,,,,,,,
Grid ref,NS485796,Long,-4.430000,Lat,55.985383,,,,,,,
Station no,5380,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.82,6.21,2.94,5.40,3.56,4.45,7.10,5.10,2.25,4.78,,
February,3.46,2.80,2.90,5.27,2.00,1.82,3.75,2.60,2.20,5.14,,
March,4.00,4.71,1.71,4.06,1.20,3.23,6.15,2.14,3.85,2.75,,
April,2.91,2.68,2.39,2.42,2.93,1.75,2.25,2.10,4.10,5.30,,
May,1.87,2.96,1.82,5.48,4.83,3.65,3.10,4.00,1.10,3.00,,
June,2.44,3.72,1.80,4.28,3.31,3.35,2.40,3.80,3.20,3.50,,
July,5.16,3.18,7.53,3.81,1.44,6.40,5.55,5.05,6.65,4.95,,
August,7.62,4.83,5.10,5.31,0.95,6.15,5.35,6.30,1.26,3.95,,
September,3.70,3.22,5.24,8.15,4.13,6.90,4.15,4.15,1.87,3.60,,
October,1.74,5.56,2.58,9.53,4.16,4.50,6.10,5.10,5.40,4.05,,
November,7.95,3.00,8.30,7.57,3.18,1.70,2.35,2.00,6.68,6.55,,
December,8.64,5.65,5.75,6.23,7.00,6.35,5.30,5.25,7.65,5.68,,
Total,55.31,48.52,48.06,67.51,38.69,50.25,53.55,47.59,46.21,53.25,,
Calc annual,55.31,48.52,48.06,67.51,38.69,50.25,53.55,47.59,46.21,53.25,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
