TIVERTON-ST-PETER-STREET-(EXE-VILLA),,,,,,,,,,
Grid ref,SS953125,Long,-3.4898,Lat,50.9025,Elevation,230,ft,,
Station no,RR1070,,,,,,,,,
,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,5.12,3.85,6.01,1.29,6.4,2.24,5.42
February,,,,3.27,3.69,2.66,4.38,2.73,1.71,5.29
March,,,,4.21,1.27,1.43,5.15,3.25,2.64,0.84
April,,,,1.26,1.87,1.88,3.42,6.25,3.56,3.4
May,,,,1.8,0.86,2.88,0.37,3.47,5.25,2.44
June,,,,1.14,1.68,3.45,1.44,0.96,3.58,5.73
July,,,,3.25,1.83,3.66,1.02,3.93,1.37,3.63
August,,,,5.81,4.53,3.47,3.58,5.06,5.88,5.75
September,,,,2.72,7.54,3.54,7.54,1.85,2.65,3.47
October,,,,3.22,5.14,8.51,3.16,2.64,5.44,
November,,,,4.62,3.33,6.01,5.06,7.32,3.9,
December,,,,0.79,6.3,1.25,8.8,2.99,3.57,
Total,,,,37.21,41.89,44.75,45.21,46.85,41.79,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1871 census observer was living in Angel Hill – so NGR given for centre of Angel Hill as cannot find Exe Villa,,,,,,,,,,
By 1880 he was in St Peter St,,,,,,,,,,
