BUXTON-LIGHTWOOD-1900s,,,,,,,,,,
Grid ref,SK053751,Long,-1.9219858,Lat,53.272861,Elevation,1300,ft.,,
Station no,,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,2.88,,,,,,,,
February,,3.21,,,,,,,,
March,1.13,3.71,,,,,,,,
April,2.23,3.31,,,,,,,,
May,1.93,1.94,,,,,,,,
June,4.85,2.89,,,,,,,,
July,4.56,1.32,,,,,,,,
August,5.25,2.6,,,,,,,,
September,1.31,1.27,,,,,,,,
October,6.06,4.03,,,,,,,,
November,3.44,5.74,,,,,,,,
December,5.53,10.54,,,,,,,,
Total,,43.44,,,,,,,,
,,,,,,,,,,
NGR is in the area called Lightwood at the stated altitude. NGR could be +/- 200m.,,,,,,,,,,
