BAMFORD,,,,,,,,,,,,,,,,,,,,
Grid ref,SK205833,Long,-1.6935357,Lat,53.346201,Elevation,500,ft.,,,,,,,,,,,,
Station no,RR4452,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849
January,,,,,,,,,,,5.05,2.6,,,,,,,,
February,,,,,,,,,,,3.6,1.4,,,,,,,,
March,,,,,,,,,,,0.65,2.7,,,,,,,,
April,,,,,,,,,,,1.3,1.3,,,,,,,,
May,,,,,,,,,,,3.2,4.1,,,,,,,,
June,,,,,,,,,,,3,3.1,,,,,,,,
July,,,,,,,,,,,4.3,4.1,,,,,,,,
August,,,,,,,,,,,4.6,3.6,,,,,,,,
September,,,,,,,,,,,2.95,3.15,,,,,,,,
October,,,,,,,,,,3.2,2.15,6.95,,,,,,,,
November,,,,,,,,,,5.45,7.1,4.4,,,,,,,,
December,,,,,,,,,,2.95,0.9,5.5,,,,,,,,
Total,,,,,,,,,,,38.8,42.9,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is Bamford Mills. Stated altitude of 300 ft/ does not exist in Bamford or Hatersage, OS figure used.",,,,,,,,,,,,,,,,,,,,
"The 1846 edition of ""Memoirs of the Literary and Philosophical Society of Manchester"" quotes these results as being at Bamford Mills with an altitude ""which maybe 300ft"".",,,,,,,,,,,,,,,,,,,,
