RIVER-ALWEN-MWDWL-EITHEN,,,,,,,,,,
Grid ref,SH935535,Long,-3.5909009,Lat,53.068088,Elevation,1317,ft.,,
Station no,4300/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,7.29,5.86,6.66,9.16
February,,,,,,,5.07,9.12,1.12,7.84
March,,,,,,,3.56,,2.83,2.47
April,,,,,,,1.14,1.7,7.28,2.86
May,,,,,,,2.47,4.3,2.37,2.02
June,,,,,,,1.33,4.34,2.98,1.92
July,,,,,,,7.74,5.32,4.1,4.87
August,,,,,,,10.1,4.18,1.2,3.19
September,,,,,,,8.19,8.13,0.4,
October,,,,,,,5.95,4.78,6.98,5.97
November,,,,,,,2.69,2.48,6.56,11.25
December,,,,,,,4.63,4.2,10.15,6.62
Total,,,,,,,60.16,,52.63,
,,,,,,,,,,
NGR is from the 1950s record and is near Mwdwl-eithen. Altitudes match.,,,,,,,,,,
"MIDAS src_id 11634, ends 1983",,,,,,,,,,
