"WHITBECK, CUMBERLAND",,,,,,,,,,
Grid ref,SD115844,Long,-3.3596967,Lat,54.247604,Elevation,108,ft,,
Station no,RR7621,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,3.26,4.58,6.95,4.31,3.53,6.75
February,,,,,3.26,3.97,3.7,2.94,3.25,4.24
March,,,,,4.36,2.31,3.01,1.47,4.72,1.16
April,,,,,2.87,0.83,1.73,4.21,3.44,2.73
May,,,,,1.99,6.15,1.47,2.38,2.21,4.53
June,,,,,3.72,0.66,3.64,0.94,0.55,1.52
July,,,,,2.52,2.32,2.46,4.32,0.45,1.43
August,,,,,4.03,5.08,6,4.08,4.62,2.57
September,,,,,4.82,1.68,7.2,3.88,2.05,9.45
October,,,,,3.17,6.52,2.34,4.97,5.98,3.5
November,,,,,5.06,4.46,7.01,1.16,3.28,4.38
December,,,,,3.72,2.82,4.37,4.44,10.6,4.26
Total,,,,,42.78,41.38,49.88,39.1,44.68,46.52
,,,,,,,,,,
"Observer Rev Ormanly, the only information on the record.",,,,,,,,,,
Assume Gauge at the Vicarage.,,,,,,,,,,
