STONEHOUSE (GLASSFORD FILTERS),,,,,,,,,,
Grid ref,NS708479,Long,-4.057733,Lat,55.707272,Elevation,775,ft,,
Station no,5198,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.54,4.61,1.56,3.85
February,,,,,,,3.18,3,2.46,4.6
March,,,,,,,3.84,1.56,2.04,1.94
April,,,,,,,2.51,1.59,3.19,3.18
May,,,,,,,2.32,2.98,0.93,2.12
June,,,,,,,2.42,3.46,3.83,2.1
July,,,,,,,3.72,5.18,5.18,3.21
August,,,,,,,5.06,6.54,1.65,3.43
September,,,,,,,3.6,5.55,1.12,2.88
October,,,,,,,5.45,3.39,6.06,3.25
November,,,,,,,2.21,2.08,5.55,5.43
December,,,,,,,5.23,6.15,5.45,7.09
Total,,,,,,,46.08,46.09,39.02,43.08
