BRADWELL-PARADISE-FARM,,,,,,,,,,
Grid ref,SK162811,Long,-1.7582363,Lat,53.326574,Elevation,1060,ft.,,
Station no,2681/6/4,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,5.41,5.72,2.51,5.33,3.12,7.51,3.35,5.2,3.28,6.89
February,4.83,2.64,,3.56,,1.21,2.99,8.3,0.81,3.5
March,7.2,2.24,3.14,3.89,3.99,2.19,3.81,2.81,2.1,1.82
April,2.27,3.33,3.39,0.73,1.51,1.53,0.51,1.5,3.59,2.3
May,2.15,2.99,2.52,3.17,4.61,0.9,1.8,4,1.15,2.35
June,1.46,3.25,2.76,2.68,3.4,4.1,1.74,4.9,1.75,1.99
July,2.16,1.8,4.51,4.59,1.81,8.2,4.61,6.87,2.8,6.75
August,4.87,2.23,4.52,6.21,0.49,8.48,7.67,3.3,0.65,4.25
September,3,4.96,2.26,5.24,1.89,4.2,9.2,5.1,0.11,4
October,0.98,6.41,2.34,6.25,3.53,3.51,4.2,4.1,3.95,6
November,10.79,3.82,2.91,7.52,2.59,2.52,2.1,1.38,5,5.9
December,7.38,4.23,2.1,8.26,6.2,7.34,5.5,5.49,7.15,5.1
Total,52.5,43.62,,57.43,,51.69,47.48,52.95,32.34,50.85
,,,,,,,,,,
NGR is from the 1950s record and is near Paradise Farm. Altitudes match,,,,,,,,,,
