LLANWDDYN HOEL-Y-FFRIDD,,,,,,,,,,,,
Grid ref,SH977214,Long,-3.5181154,Lat,52.780455,Elevation,800,ft,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,,
January,1.5,,,,,,,,,,,
February,6.84,,,,,,,,,,,
March,4.7,,,,,,,,,,,
April,3.7,,,,,,,,,,,
May,2.62,,,,,,,,,,,
June,3.89,,,,,,,,,,,
July,8.51,,,,,,,,,,,
August,2.88,,,,,,,,,,,
September,5.74,,,,,,,,,,,
October,5.59,,,,,,,,,,,
November,9.68,,,,,,,,,,,
December,6.87,,,,,,,,,,,
Total,62.52,,,,,,,,,,,
,,,,,,,,,,,,
NOTES,,,,,,,,,,,,
NGR is Heol-y-Ffridd which is now submerged. G Symons was the named observer.,,,,,,,,,,,,
