STAFFORD-RIVERWAY-NURSERY,,,,,,,,,,
Grid ref,SJ927229,Long,-2.1097233,Lat,52.803604,Elevation,247,ft.,,
Station no,2351,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,2.32,0.7,1.23,2.33,3.45,1.67,2.22,2.62,4.86
February,,0.61,1.56,2.26,1.85,0.63,1.72,3.65,0.39,1.93
March,,1.62,1.19,2.08,2.53,1.17,2.03,1.59,1.81,1.32
April,,2.52,2.18,0.49,1.46,1.41,0.23,0.56,3.14,1.68
May,,3.23,2.76,2.22,3.76,0.67,1.25,1.98,0.79,1.26
June,,2.57,2.97,3.17,2.77,2.48,1.96,4.54,1.27,3.28
July,,2.36,2.62,3.59,0.78,1.85,3.95,4.62,2.03,3.26
August,,2.6,2.41,4.73,1,4.27,4.86,3.16,1.18,3.39
September,,1.84,2.08,2.04,2.79,2.75,4.74,3.35,0.15,5.51
October,,3.64,1.29,4.64,1.39,1.83,2.24,2.51,1.97,4.68
November,,1.57,1.6,4.79,1.72,1.07,1.69,1.62,3.07,4.11
December,,3.13,1.24,3.18,2.06,2.52,1.3,3.13,3.52,3.03
Total,,28.01,22.6,34.42,24.44,24.1,27.64,32.93,21.94,38.31
,,,,,,,,,,
NOTES,,,,,,,,,,
"NGR is from 1950s record and is a nusery on Riverway. The gauge moved here sometime in 1951 to 1952, exact date unknown, assumed to be end of 1951 for this record. Move was about 1km east and the gauge is close to its original position. The station no. was retained",,,,,,,,,,
