LEWES-GLYNDE-PLACE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ456093,Long,0.06763,Lat,50.86488,Elevation,49,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,5.08,0.53,2.52,4.28,1.18,5.78,5.25,4.38,3.84,3.5,2.21,2.98,5.96,3.72,2.72,4.62,1.13,7.53,1.99,3.51,0.46,1.94,1.7,3.08,3.74,2.58,5.71,3.13,1.05,1.16,3.64,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,1.29,1.47,0.61,1.01,1.88,2.86,5.17,2.27,1.26,3.16,1.71,2.03,2.63,1.86,1.87,1.95,3.26,2.43,2.33,4.23,3.16,3.77,2.01,4.2,1.3,4.68,0.48,0.98,1.88,2.58,1.46,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,2.08,3.14,4.31,1.11,3.72,1.76,2.17,2.95,1.6,2.25,1.94,1.89,2.51,2.28,0.86,0.92,3.24,2.6,1.76,0.96,1.09,2.98,1.39,1.21,2.4,2.28,1.9,1.18,4.42,1.82,2.16,2.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.98,0.33,1.68,0.44,0.87,0.28,1.52,3.01,2.65,1.41,0.34,4.42,0.59,0.64,2.28,1.12,2.77,3.06,2.81,3.3,2.1,0.55,5.1,1.41,1.59,1.1,1.98,1.65,1.32,2.38,2.9,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,3.65,1.93,3.53,2.39,1.91,3.29,0.79,2.48,1.21,4.73,1.4,0.47,3.19,1.09,0.44,1.49,1.18,2.33,4.18,2.28,0.11,0.98,0.78,2.75,0.33,3.5,3.67,1.42,1.46,1.24,2.54,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,4.68,3.53,2.27,4.18,1.19,0.92,2.54,1.66,0.78,1.08,0.31,3.35,2.42,2.31,1.58,2.87,2.85,1.19,1.19,3.88,1.67,2.67,2.32,0.87,1.88,1.16,1.14,1.38,3.64,0.44,2.94,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,3.5,2.65,1.95,0.6,0.55,3.04,2.49,4.73,1.12,0.35,1.81,3.6,1.87,1.97,1.56,3.43,0.53,2.95,0.66,3.64,3.25,1.81,3.06,1.98,1.56,0.61,3.05,0.4,4.9,4.84,4,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,5.31,1.15,1.99,2.73,2.39,3.2,3.19,2.27,4.12,1.4,2.88,1.63,2.01,3.59,2.02,1.49,4.02,3.25,5,5.93,0.9,5.33,2.9,1.13,1.46,0.58,2.21,2.57,2.1,2.48,3.45,6.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,4.53,5.03,2.46,5.05,3.57,0.04,6.96,2.34,2.27,5.08,2.92,5.05,2.76,2.98,3.93,1.98,4.96,1,1.57,4.2,2.76,2.68,2.86,2.28,4.46,4.88,1.14,3.57,0.82,1.24,1.12,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,3.31,2.97,7.5,3.05,1.81,11.7,1.62,3.86,3.7,2.06,6,3.02,6.3,4.47,4.67,4.64,1.25,4.32,4.17,0.89,6.1,2.08,9.48,2.9,1.28,5.05,4.81,1.56,3.06,7.67,1.85,6.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
