ST-AUSTELL-CHARLESTOWN-OLD-VIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX031521,Long,-4.76768,Lat,50.33639,Elevation,204,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.87,,,,,6.79,4.02,5.71,,6.5,7.51,8.25,3.71,7.38,5.31,4.95,3.07,4.36,,,,,,
February,,,,,,,,1.73,,,,0.29,4.61,8.5,2.03,,,3.66,4.75,3.29,1.72,4.3,0.05,4.09,0.35,,,,,,
March,,,,,,,,4.1,,,,2.92,3.42,2.32,2.4,,,4.08,6.42,0.43,3.95,3.75,2.51,4.47,4.09,,,,,,
April,,,,,,,,1.67,,,,1,4.14,3.88,3.47,,1.77,2.87,2,1.42,2.65,2.55,3.79,2.66,3.5,,,,,,
May,,,,,,,,2.34,,,,2.47,1.62,3.35,4.11,,2.16,0.53,1.69,3.97,3.01,3.36,5.25,3.21,1.77,,,,,,
June,,,,,,,,3.83,,0.76,,0.08,1.26,0.37,2.05,,3.29,3.6,2.06,3.48,1,3.12,2.75,2.94,1.89,,,,,,
July,,,,,,,,1.91,,0.55,,1.2,4.17,0.79,6.61,,0.76,2.39,1.92,2.24,3.53,7.2,4.44,3.13,1.32,,,,,,
August,,,,,,,,5.94,,3.13,,2.12,3.38,2.35,3.43,,2.23,4.73,2.75,3.16,6.2,4.38,,1.89,4.91,,,,,,
September,,,,,,,,2.2,,2.81,,1.02,3.11,3.06,4.03,,0.83,7.02,2.49,0.48,6.62,3.06,,2.9,4.07,,,,,,
October,,,,,,,,7.45,,1.6,,1.1,1.37,6.5,8.94,,3.28,2.59,7.05,8.69,6.64,1.08,10.17,6.61,4.58,,,,,,
November,,,,,,,,3.8,,4.32,,3.92,3.06,4.12,4.54,,7.49,3.77,5.11,12.47,7.63,8.46,3.21,2.27,2.06,,,,,,
December,,,,,,,,1.57,,8.15,,3.03,7.56,5.37,,,0.69,4.91,5.54,8.89,4.84,2,3.36,3.47,11.91,,,,,,
Total,,,,,,,,39.41,,,,,44.49,44.63,,,,47.66,50.03,52.23,55.17,48.57,,40.71,44.81,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Aug 25 Inspection Very poor site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1921 Not printed Useless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Jan 1 Gauge moved 9yds SW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Dec Partly estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1926 March Gauge moved 40ft W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Aug Sept Estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 Gauge terminated on death of observers wife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rejected from Survey as 4in low in 1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
